OBJECTID,Water_Quality,lon,lat
140,3873,-81.6265,30.3046
141,2723,-81.6265,30.3046
142,1014,-81.6265,30.3046
143,19863,-81.6265,30.3046
144,5475,-81.6265,30.3046
145,464,-81.6134,30.3004
146,7701,-81.6134,30.3004
147,504,-81.6134,30.3004
148,350,-81.6134,30.3004
149,959,-81.6134,30.3004
150,380,-81.6134,30.3004
151,86,-81.6134,30.3004
152,576,-81.6134,30.3004
153,317,-81.6134,30.3004
154,457,-81.6134,30.3004
155,3873,-81.6134,30.3004
156,717,-81.6134,30.3004
157,269,-81.6134,30.3004
158,833,-81.6134,30.3004
159,1553,-81.6134,30.3004
160,1187,-81.6134,30.3004
161,1396,-81.6134,30.3004
162,884,-81.6134,30.3004
163,1658,-81.6134,30.3004
164,231,-81.6134,30.3004
165,411,-81.6134,30.3004
166,987,-81.6134,30.3004
167,73,-81.722,30.3009
168,588,-81.7133,30.2986
169,7270,-81.7133,30.2986
170,836,-81.7129,30.2984
171,180,-81.7129,30.2984
172,270,-81.7129,30.2984
173,180,-81.7129,30.2984
174,4200,-81.7129,30.2984
175,360,-81.7129,30.2984
176,180,-81.7129,30.2984
177,541,-81.7129,30.2984
178,460,-81.7129,30.2984
179,991,-81.7129,30.2984
180,721,-81.7129,30.2984
181,360,-81.7129,30.2984
182,1100,-81.7129,30.2984
183,811,-81.7129,30.2984
184,360,-81.7129,30.2984
185,813,-81.7129,30.2984
186,431,-81.7129,30.2984
187,3654,-81.7129,30.2984
188,908,-81.7129,30.2984
189,1439,-81.7129,30.2984
190,2187,-81.7129,30.2984
191,1670,-81.7129,30.2984
192,301,-81.7129,30.2984
193,1607,-81.7129,30.2984
194,2247,-81.7129,30.2984
195,2755,-81.7129,30.2984
196,9208,-81.7129,30.2984
197,1935,-81.7129,30.2984
198,15500,-81.7129,30.2984
199,1723,-81.7129,30.2984
200,3654,-81.7129,30.2984
201,480,-81.7129,30.2984
202,1211,-81.7129,30.2984
203,512,-81.7129,30.2984
204,4106,-81.7129,30.2984
205,7270,-81.7129,30.2984
206,384,-81.7129,30.2984
207,556,-81.7129,30.2984
208,417,-81.7129,30.2984
209,882,-81.7129,30.2984
210,404,-81.7092,30.2947
211,1620,-81.7092,30.2947
212,1720,-81.7092,30.2947
213,345,-81.7092,30.2947
214,1440,-81.7092,30.2947
215,1300,-81.7092,30.2947
216,2420,-81.7092,30.2947
217,1990,-81.7092,30.2947
218,1440,-81.7092,30.2947
219,866,-81.7092,30.2947
220,2420,-81.7092,30.2947
221,1200,-81.7092,30.2947
222,770,-81.7092,30.2947
223,1990,-81.7092,30.2947
224,1200,-81.7092,30.2947
225,613,-81.7092,30.2947
226,687,-81.7092,30.2947
227,932,-81.7092,30.2947
228,488,-81.7092,30.2947
229,2420,-81.7092,30.2947
230,816,-81.7092,30.2947
231,771,-81.7092,30.2947
232,1300,-81.7092,30.2947
233,2420,-81.7092,30.2947
234,1120,-81.7092,30.2947
235,1410,-81.7092,30.2947
236,2420,-81.7092,30.2947
237,387,-81.7092,30.2947
238,2420,-81.7092,30.2947
239,1320,-81.7092,30.2947
240,816,-81.7092,30.2947
241,318,-81.7092,30.2947
242,772,-81.7092,30.2947
243,1539,-81.7092,30.2947
244,1173,-81.7092,30.2947
245,1986.3,-81.7092,30.2947
246,473,-81.7092,30.2947
247,1281,-81.7092,30.2947
248,1413.6,-81.7092,30.2947
249,1314,-81.7092,30.2947
250,2046,-81.7092,30.2947
251,3448,-81.7092,30.2947
252,3654,-81.7092,30.2947
253,1414,-81.7092,30.2947
254,1565,-81.7092,30.2947
255,4352,-81.7092,30.2947
256,839,-81.7092,30.2947
257,6131,-81.7092,30.2947
258,1145,-81.7092,30.2947
259,5475,-81.7092,30.2947
260,934,-81.7092,30.2947
261,648.8,-81.5864,30.2944
262,86,-81.6952,30.3676
263,132,-81.6952,30.3676
264,538,-81.6952,30.3676
265,364,-81.6952,30.3676
266,10,-81.6952,30.3676
267,2382,-81.6952,30.3676
268,160,-81.6952,30.3676
269,85,-81.6952,30.3676
270,86,-81.6952,30.3676
271,131,-81.6952,30.3676
272,249,-81.6952,30.3676
273,473,-81.6952,30.3676
274,52,-81.6952,30.3676
275,201,-81.6952,30.3676
276,960,-81.6952,30.3676
277,86,-81.6952,30.3676
278,187,-81.6952,30.3676
279,63,-81.6952,30.3676
